Stock,Ticker,current_price,forecasted_price,forecasted_price_change,percent_change,current_volatility,forecasted_volatility,forecasted_volatility_change,model_error_last_week,model_mda_last_week
FE,FirstEnergy,37.150001525878906,37.514175405854985,0.36417387997607875,0.9802795828215326,0.0062574897687247,0.0136031713332084,-20.87676191341527,36.24526087539114,57.14285714285714
FI,Fiserv,147.92999267578125,136.65744474505235,-11.272547930728905,-7.6201909611629555,0.0006689109970834,0.0115531830679952,1240.396856818648,134.20443710705095,85.71428571428571
FLT,Fleetcor,272.9100036621094,264.2487682709299,-8.661235391179503,-3.1736599153408105,0.0130716030177423,0.0195031889345997,7960.143608112579,272.3682976685885,57.14285714285714
FMC,FMC Corporation,50.9900016784668,61.117032718185115,10.127031039718318,19.860817231537744,0.0266303646448706,0.0277866079690446,37.9687821197454,61.64264623547678,57.14285714285714
F,Ford Motor Company,12.25,11.973988681361389,-0.27601131863861106,-2.253153621539682,0.0096553899764798,0.0250070668062339,614.9159132770416,11.525673233391993,42.857142857142854
FTNT,Fortinet,67.91000366210938,65.88880826307533,-2.021195399034042,-2.976285215784453,0.01223469286821,0.0251556743645512,17.71945342535207,65.32283759911404,28.57142857142857
FTV,Fortive,83.73999786376953,80.31290455742187,-3.4270933063476576,-4.092540475010454,0.0024529231009019,0.0155936731278918,48.288578757443446,77.90858997685496,57.14285714285714
FOXA,Fox Corporation (Class A),30.09000015258789,30.23073887740383,0.14073872481593952,0.4677259026329227,0.0053954075562317,0.0175366223889281,259.37019240331267,30.34245160911442,28.57142857142857
FOX,Fox Corporation (Class B),27.6299991607666,28.084187738294755,0.45418857752815356,1.6438240728326972,0.0033519090494859,0.0182845369815117,383.93069162951804,28.299506013734838,28.57142857142857
BEN,Franklin Templeton,27.100000381469727,26.704330395641765,-0.3956699858279613,-1.460036827521634,0.0018336209463236,0.0184354330391498,445.8505704224974,26.057847191076217,57.14285714285714
FCX,Freeport-McMoRan,38.13999938964844,38.01760651623958,-0.12239287340885596,-0.3209042353631358,0.0233198423732112,0.0237600711686343,-8.270665403999706,37.39117774061727,28.57142857142857
GRMN,Garmin,122.75,116.19887720689941,-6.551122793100589,-5.336963578900684,0.013286995104845,0.0139545221146448,-75.35016018477921,115.82301320119397,71.42857142857143
IT,Gartner,445.0,438.93156583602905,-6.068434163970949,-1.3636930705552692,0.0024360701971275,0.0168140434937217,1491.4479624990452,438.17708721484274,57.14285714285714
GEN,Gen Digital,21.700000762939453,21.094767253168918,-0.6052335097705352,-2.7890944170112144,0.0121591995645465,0.0190669339973797,18.63695001121359,20.667615256178316,42.857142857142854
GNRC,Generac,114.38999938964844,127.43783994689285,13.047840557244413,11.406452160909058,0.0025651136845759,0.0334013234421618,159.59192436031566,125.08636419543404,71.42857142857143
GD,General Dynamics,268.92999267578125,260.9989143779315,-7.931078297849751,-2.9491237548246856,0.0001283923646036,0.0115843972532235,27.216698308626995,259.8758201197639,42.857142857142854
GE,General Electric,148.6199951171875,86.62038323385525,-61.99961188333225,-41.71687116154545,0.0063196670108053,0.0164899450904115,250.6673666979183,85.27361246425662,100.0
GIS,General Mills,65.77999877929688,64.40649693777333,-1.3735018415235487,-2.088023513244325,0.0093016327677989,0.0132214787316551,-34.29887987290261,64.3315690525025,42.857142857142854
GM,General Motors,39.0099983215332,38.46865133245602,-0.5413469890771836,-1.3877134385272825,0.0109205479611982,0.020946882082298,596.8274371957233,38.10642765028529,28.57142857142857
GPC,Genuine Parts Company,144.27999877929688,142.1674686394287,-2.11253013986817,-1.464187799931769,0.0104958525492028,0.0153246402422055,165.78597200250854,141.79316775517117,28.57142857142857
GILD,Gilead Sciences,72.04000091552734,75.15845070258217,3.1184497870548284,4.328775329572053,0.0219947270820289,0.0151155174309231,123.41629480913001,75.63198665916913,71.42857142857143
GPN,Global Payments,130.8000030517578,127.34717136398926,-3.452831687768551,-2.6397795162147353,0.0007810367849358,0.0232027123743731,-14.09731766231792,128.9847849482831,28.57142857142857
GL,Globe Life,125.8499984741211,120.67642826111373,-5.173570213007366,-4.110902086400281,0.0033757236741671,0.0107351354857856,357.7188547977409,117.54766306461286,57.14285714285714
GS,Goldman Sachs,384.5199890136719,367.1379125231262,-17.38207649054567,-4.520461091016946,0.001947361909882,0.0155849117214676,132.07418821553264,363.9219737087236,28.57142857142857
HAL,Halliburton,35.130001068115234,35.10628046983471,-0.023720598280526417,-0.06752233862598928,0.0030133566012589,0.0197275748283665,445.8884143548802,34.20357521710817,42.857142857142854
HIG,Hartford (The),93.43000030517578,91.93919453148958,-1.4908057736862048,-1.595639268775233,0.0029578374334323,0.0122272239355041,1269.3688912536866,88.62947282510318,42.857142857142854
HAS,Hasbro,50.18999862670898,50.26627340001953,0.07627477331055132,0.15197205697862112,0.0045140272120711,0.0214879268978143,213.52966100679635,49.647193574465966,42.857142857142854
HCA,HCA Healthcare,308.5799865722656,285.34660136236084,-23.23338520990478,-7.529128984670498,0.0019737866700499,0.0131787362150421,92.01742053967098,287.45632255353075,71.42857142857143
PEAK,,16.920000076293945,17.34662340242626,0.42662332613231513,2.5214144456774736,0.0022957539185137,0.019628626351283,240.30961532675002,17.69802704226942,28.57142857142857
